SEP=;
File;pelvis;lowerSpine;middleSpine;upperSpine;rightClavicle;rightShoulder;rightElbow;rightWrist;leftClavicle;leftShoulder;leftElbow;leftWrist;rightHip;rightKnee;rightAnkle;leftHip;leftKnee;leftAnkle
Lunge_Error3;up;up;up;up;front_up;up;right;front_up;front_up;front_up;up;None;up;None;None;up;None;None
Pushup_Error1;back_left;back_left;back;back;back;back;back_down;None;back;back;back;back_left;back_left_down;back_down;None;back_left_down;back_down;None
Pushup_Error1;down;down;back_left_down;back;back;back;down;None;back;back;None;left;down;down;None;down;down;None
Pushup_Error1;down;down;down;back;back;back;down;None;back;back;back;left;down;down;None;down;down;None
Pushup_Error2;back_left;back_left;back_up;back_up;back_up;back_up;None;None;back_up;back_up;back_left;left;back_left;back;back;back_left;back;back
Pushup_Error2;back_left;back_left;back_left_up;back_up;up;back_up;None;None;up;back_up;left;left;back_left;back;None;back_left;back;None
Pushup_Error2;back_left;back_left;back_left_up;back_up;up;back_up;None;None;up;back_up;back_left;left;back_left;back;None;back_left;back;None
Pushup_Error2;left;back_left;up;up;up;up;None;None;up;up;left;left;left;None;None;left;None;None
Squat_Error1;None;down;front_down;front_down;front_down;front_down;front_down;front_down;front_down;front_down;down;down;back;None;None;back;None;None
Squat_Error1;down;down;down;front_down;front_down;front_down;front_down;front_down;front_down;front_down;down;down;back_down;front_down;None;back_down;front_down;None
Squat_Error1;back;None;front;front_down;front_down;front_down;down;down;front_down;front_down;down;down;back;None;None;back;None;None
Squat_Error2;front;front;front;front;None;None;down;None;down;down;down;down;front;front_down;None;front;front_down;None
Squat_Error2;front;front;front;front;front;front;None;None;front;front;down;down;front;front_down;None;front;front_down;None
Squat_Error2;front;front;front;None;None;None;None;None;None;None;None;None;front;front_down;None;front;front_down;None
Squat_Error3;front;front_up;up;up;up;up;up;up;up;up;up;up;front;back_up;None;front;back_up;None
Squat_Error3;front;front;front;None;None;None;None;None;None;None;left;left;front;None;None;front;None;None
Squat_Error3;front;front;front;None;None;None;None;None;None;None;left;left;front;None;None;front;None;None
Lunge_Error1;None;front;front;front;front;front;front_down;front;front;front;right;front;None;None;None;None;None;None
Lunge_Error1;None;front;front;front;front;front;front_down;front;front;front;right;front;None;None;None;None;None;None
Lunge_Error1;None;front;front;front;front;front;front_down;front;front;front;right;front;None;None;None;None;None;None
Lunge_Error1;None;None;front;front;front;front;front_down;front;front;front;right;front;None;None;None;None;None;None
