SEP=;
File;Actual_Start;Calculated_Start;Difference
Squat_Medium.csv;774;774;0
Squat_Medium.csv;996;993;-3
Squat_Slow.csv;221;223;2
Squat_Slow.csv;511;512;1
Squat_Slow.csv;776;779;3
Squat_Slow.csv;1051;1042;-9
Lunge_Fast.csv;628;632;4
Lunge_Medium.csv;164;170;6
Lunge_Medium.csv;392;391;-1
Lunge_Medium.csv;637;635;-2
Lunge_Slow.csv;217;217;0
Lunge_Slow.csv;497;499;2
Lunge_Slow.csv;761;759;-2
Lunge_Slow.csv;1048;1044;-4
Pushup_Medium.csv;176;140;-36
Pushup_Slow.csv;431;423;-8
Pushup_Slow.csv;697;697;0
Pushup_Slow.csv;978;972;-6
Squat_Fast.csv;224;210;-14
Squat_Fast.csv;756;751;-5
Squat_Medium.csv;231;226;-5
Squat_Medium.csv;439;437;-2
Squat_Medium.csv;678;678;0
Squat_Medium.csv;904;906;2
Squat_Slow.csv;207;208;1
Squat_Slow.csv;479;480;1
Squat_Slow.csv;753;747;-6
Squat_Slow.csv;1038;1033;-5
Lunge_Medium.csv;199;168;-31
Lunge_Medium.csv;416;414;-2
Lunge_Medium.csv;643;643;0
Lunge_Medium.csv;867;869;2
Lunge_Slow.csv;180;185;5
Lunge_Slow.csv;462;466;4
Lunge_Slow.csv;735;738;3
Lunge_Slow.csv;1011;1014;3
Pushup_Fast.csv;751;750;-1
Pushup_Fast.csv;1298;1287;-11
Pushup_Medium.csv;363;298;-65
Pushup_Medium.csv;602;566;-36
Pushup_Medium.csv;825;808;-17
Pushup_Medium.csv;1054;1054;0
Pushup_Slow.csv;165;170;5
Pushup_Slow.csv;440;437;-3
Pushup_Slow.csv;713;713;0
Pushup_Slow.csv;993;996;3
Squat_Fast.csv;265;270;5
Squat_Fast.csv;658;653;-5
Squat_Medium.csv;1430;1385;-45
Squat_Medium.csv;1656;1654;-2
Squat_Medium.csv;1886;1885;-1
Squat_Slow.csv;431;436;5
Squat_Slow.csv;965;967;2
Squat_Slow.csv;1242;1246;4
